#header
# Gene definition file for Gorilla gorilla (GorGor)
# Reference assembly: GCF_029281585.2 (NHGRI mGorGor1-v2.0)
# Y chromosome accession: NC_073248.2  (length: 67,405,748 bp)
# Coordinates: 0-based, half-open  [start, end)
#
# Format: start  end  gene_family  [notes]
#
# Multicopy gene families:
#   BPY2  — 2 copies
#   CDY   — 1 canonical + 4 pseudogene loci (LOC129530297/99/01/02)
#           Pseudogenes were added to prevent NaN from AmpliCoNE-build
#   DAZ   — 2 regions (ampliconic palindrome arms)
#   HSFY  — 5 copies
#   RBMY  — 13 copies (including pseudogene substitution LOC129520271 region)
#           Note: LOC129520271 not listed here; RBMY entries cover equivalent coords
#   TSPY  — 6 copies
#
# Single-copy control regions:
#   CONTROL — 9 regions spanning single-copy portions of chrY
#             (coordinates derived from single-copy gene loci: DDX3Y, KDM5D,
#              USP9Y, UTY, ZFY, TBL1Y, and intergenic single-copy windows)
#
# VCY is absent in gorilla (not included).
#
42645393	42651617	BPY2
43077067	43083291	BPY2
19346919	19349346	CDY
17829216	17831547	CDY	LOC129530297
18481520	18484283	CDY	LOC129530299
16914468	16916900	CDY	LOC129530301
41275361	41278721	CDY	LOC129530302
42783132	42859657	DAZ
42879917	42945552	DAZ
17252745	17254618	HSFY
17487914	17489787	HSFY
18802998	18804871	HSFY
19044256	19046129	HSFY
41620824	41622696	HSFY
19671637	19685525	RBMY
19625714	19639621	RBMY
19648669	19662577	RBMY
19694605	19708531	RBMY
19717577	19730926	RBMY
19602753	19616644	RBMY
25725361	25739264	RBMY
15477439	15491521	RBMY
15918164	15930918	RBMY
16137382	16150683	RBMY
16415998	16429873	RBMY
16438965	16454625	RBMY
25709081	25723101	RBMY
34736503	34759956	TSPY
34757174	34759956	TSPY
34777899	34780649	TSPY
34798628	34801410	TSPY
34819289	34822071	TSPY
34839952	34842734	TSPY
9366639	9369806	CONTROL
9514837	9568436	CONTROL
9750112	9975218	CONTROL
9974306	10125231	CONTROL
27118037	27157463	CONTROL
29282562	29606092	CONTROL
30649668	30895118	CONTROL
31202917	31219431	CONTROL
31260865	31465307	CONTROL
